date,8841431.WI_成交额
2017-04-17,22304967850.0
2017-04-18,20248584900.0
2017-04-19,22781969880.0
2017-04-20,20933627290.0
2017-04-21,15355909640.0
2017-04-24,18042877590.0
2017-04-25,16022624350.0
2017-04-26,16895281469.999998
2017-04-27,23705442670.0
2017-04-28,18031842470.0
2017-05-02,17084004910.0
2017-05-03,18867989340.0
2017-05-04,17139300790.0
2017-05-05,17086476050.0
2017-05-08,16554408250.0
2017-05-09,14907645800.0
2017-05-10,18099510220.0
2017-05-11,20091777900.0
2017-05-12,15238375070.0
2017-05-15,13085925830.0
2017-05-16,19568899610.0
2017-05-17,21253767120.0
2017-05-18,19023466360.0
2017-05-19,15230065000.0
2017-05-22,17634835320.0
2017-05-23,19052821580.0
2017-05-24,15678703680.0
2017-05-25,16908460660.0
2017-05-26,15755296760.0
2017-05-31,17473450850.0
2017-06-01,17374290330.0
2017-06-02,16485191350.0
2017-06-05,15505580140.0
2017-06-06,14478223000.0
2017-06-07,23251964270.0
2017-06-08,19967088010.0
2017-06-09,18833836050.0
2017-06-12,18998015910.0
2017-06-13,17741467120.0
2017-06-14,18733694330.0
2017-06-15,24095752450.0
2017-06-16,18843274260.0
2017-06-19,15810697460.0
2017-06-20,19226379520.0
2017-06-21,17527891280.0
2017-06-22,19594542460.0
2017-06-23,17639721570.0
2017-06-26,15732417720.0
2017-06-27,15515169240.0
2017-06-28,15684880420.0
2017-06-29,13997579750.0
2017-06-30,16259476410.0
2017-07-03,15589661180.0
2017-07-04,15253819130.0
2017-07-05,20357551800.0
2017-07-06,24394862700.0
2017-07-07,23680540090.0
2017-07-10,22974687610.0
2017-07-11,19307477280.0
2017-07-12,19076819040.0
2017-07-13,15669285250.0
2017-07-14,14797002880.0
2017-07-17,22553832770.0
2017-07-18,16098254100.0
2017-07-19,14371498720.0
2017-07-20,15720648330.0
2017-07-21,13717995290.0
2017-07-24,15045282760.0
2017-07-25,13090739690.0
2017-07-26,13037880180.0
2017-07-27,19940287030.0
2017-07-28,16225425500.0
2017-07-31,13337309100.0
2017-08-01,13403262850.0
2017-08-02,14333636750.0
2017-08-03,14679390380.0
2017-08-04,14075354020.0
2017-08-07,10994035180.0
2017-08-08,12961051830.0
2017-08-09,13514658770.0
2017-08-10,15317029090.0
2017-08-11,13189302910.0
2017-08-14,12289356450.0
2017-08-15,14939962030.0
2017-08-16,20351187810.0
2017-08-17,19687731320.0
2017-08-18,16323714070.0
2017-08-21,17088833140.0
2017-08-22,17388331870.0
2017-08-23,19060179490.0
2017-08-24,20500174950.0
2017-08-25,21890741690.0
2017-08-28,28308768680.0
2017-08-29,30876023900.0
2017-08-30,24778416270.0
2017-08-31,26658993540.0
2017-09-01,25623741480.0
2017-09-04,24609324180.0
2017-09-05,22307357360.0
2017-09-06,22662344710.0
2017-09-07,26844247480.0
2017-09-08,22054926530.0
2017-09-11,22478436110.0
2017-09-12,25226506190.0
2017-09-13,17439584140.0
2017-09-14,19643586630.0
2017-09-15,17144017840.0
2017-09-18,16167568110.0
2017-09-19,18001881180.0
2017-09-20,19800803170.0
2017-09-21,21775482200.0
2017-09-22,21508993890.0
2017-09-25,20396729030.0
2017-09-26,18560903590.0
2017-09-27,15879533420.0
2017-09-28,16711573740.0
2017-09-29,15019239600.0
2017-10-09,16536187850.0
2017-10-10,21201545860.0
2017-10-11,22242769170.0
2017-10-12,19118793520.0
2017-10-13,21317481880.0
2017-10-16,22284999560.0
2017-10-17,15792174600.0
2017-10-18,18915019520.0
2017-10-19,16495041340.0
2017-10-20,13137196920.0
2017-10-23,13998295620.0
2017-10-24,14883462090.0
2017-10-25,17786294910.0
2017-10-26,18492557130.0
2017-10-27,17210059380.0
2017-10-30,19427788510.0
2017-10-31,14721665310.0
2017-11-01,15337599970.0
2017-11-02,15882677610.0
2017-11-03,13649812990.0
2017-11-06,14356959720.0
2017-11-07,14391353580.0
2017-11-08,17636394290.0
2017-11-09,16026611490.0
2017-11-10,18666189960.0
2017-11-13,16574024540.0
2017-11-14,17807603700.0
2017-11-15,15885438700.0
2017-11-16,14432793150.0
2017-11-17,20485654990.0
2017-11-20,12980971110.0
2017-11-21,12556645350.0
2017-11-22,11778553090.0
2017-11-23,12384294430.0
2017-11-24,9812923360.0
2017-11-27,8960827040.0
2017-11-28,9418458510.0
2017-11-29,10876269740.0
2017-11-30,10136816030.0
2017-12-01,9569344190.0
2017-12-04,11404690740.0
2017-12-05,12340898260.0
2017-12-06,10495787480.0
2017-12-07,8933840070.0
2017-12-08,10334158010.0
2017-12-11,9105932890.0
2017-12-12,9365070380.0
2017-12-13,8581216310.000001
2017-12-14,9140326090.0
2017-12-15,9287036250.0
2017-12-18,8409876180.0
2017-12-19,8440354689.999999
2017-12-20,9450426860.0
2017-12-21,9205616330.0
2017-12-22,8283611670.0
2017-12-25,10231556310.0
2017-12-26,12434745490.0
2017-12-27,12062750110.0
2017-12-28,11601536390.0
2017-12-29,10004958690.0
2018-01-02,10242067020.0
2018-01-03,12088636960.0
2018-01-04,11424466280.0
2018-01-05,10562135330.0
2018-01-08,11561914530.0
2018-01-09,10840894640.0
2018-01-10,11064183970.0
2018-01-11,11358644820.0
2018-01-12,11652511790.0
2018-01-15,13596825810.0
2018-01-16,11267644940.0
2018-01-17,12143712610.0
2018-01-18,9972111170.0
2018-01-19,11215545770.0
2018-01-22,11291364000.0
2018-01-23,11025922420.0
2018-01-24,12460945780.0
2018-01-25,13920944320.0
2018-01-26,10175507840.0
2018-01-29,10851421750.0
2018-01-30,9413635200.0
2018-01-31,12794048970.0
2018-02-01,12397366740.0
2018-02-02,9187639870.0
2018-02-05,6989591080.0
2018-02-06,10285551470.0
2018-02-07,9342823800.0
2018-02-08,8088532980.0
2018-02-09,8634900350.0
2018-02-12,7461923860.0
2018-02-13,7342435150.0
2018-02-14,5281072050.0
2018-02-22,6377950510.0
2018-02-23,7482856330.0
2018-02-26,10222790620.0
2018-02-27,10744002870.0
2018-02-28,8793834630.0
2018-03-01,10654498450.0
2018-03-02,9577589740.0
2018-03-05,8747695360.0
2018-03-06,11259657990.0
2018-03-07,10297706330.0
2018-03-08,12568686640.0
2018-03-09,15161536780.0
2018-03-12,16155992770.0
2018-03-13,15062269950.0
2018-03-14,12625270180.0
2018-03-15,13006182590.0
2018-03-16,10761855670.0
