date,000852.SH_换手率均值_60日
2016-07-21,3.7295216666666664
2016-07-22,3.7408816666666667
2016-07-25,3.739768333333333
2016-07-26,3.7364183333333334
2016-07-27,3.7838416666666665
2016-07-28,3.7826383333333333
2016-07-29,3.764776666666667
2016-08-01,3.7545816666666663
2016-08-02,3.710655
2016-08-03,3.692223333333333
2016-08-04,3.6997199999999997
2016-08-05,3.701945
2016-08-08,3.70215
2016-08-09,3.715348333333333
2016-08-10,3.7243
2016-08-11,3.7213800000000004
2016-08-12,3.714715
2016-08-15,3.7427316666666663
2016-08-16,3.7670866666666667
2016-08-17,3.7793616666666665
2016-08-18,3.801321666666667
2016-08-19,3.8133166666666667
2016-08-22,3.82214
2016-08-23,3.8285299999999998
2016-08-24,3.8373116666666665
2016-08-25,3.82007
2016-08-26,3.79558
2016-08-29,3.7720433333333334
2016-08-30,3.744531666666667
2016-08-31,3.7278983333333335
2016-09-01,3.71951
2016-09-02,3.7060716666666664
2016-09-05,3.6784266666666667
2016-09-06,3.6850983333333334
2016-09-07,3.67678
2016-09-08,3.653291666666667
2016-09-09,3.633541666666667
2016-09-12,3.629211666666667
2016-09-13,3.6031633333333333
2016-09-14,3.5848066666666667
2016-09-19,3.555576666666667
2016-09-20,3.5119116666666668
2016-09-21,3.4781600000000004
2016-09-22,3.4420550000000003
2016-09-23,3.407908333333333
2016-09-26,3.386805
2016-09-27,3.365645
2016-09-28,3.328593333333333
2016-09-29,3.2855149999999997
2016-09-30,3.2468083333333335
2016-10-10,3.21277
2016-10-11,3.1959766666666667
2016-10-12,3.171865
2016-10-13,3.1467866666666664
2016-10-14,3.118243333333333
2016-10-17,3.102993333333333
2016-10-18,3.0916066666666664
2016-10-19,3.0837683333333334
2016-10-20,3.08356
2016-10-21,3.0799916666666665
2016-10-24,3.0710833333333336
2016-10-25,3.0656266666666667
2016-10-26,3.0694500000000002
2016-10-27,3.0634683333333332
2016-10-28,3.0249883333333334
2016-10-31,3.0107183333333336
2016-11-01,3.0147916666666665
2016-11-02,3.026315
2016-11-03,3.0541283333333333
2016-11-04,3.0659783333333333
2016-11-07,3.07288
2016-11-08,3.0800283333333334
2016-11-09,3.1011516666666665
2016-11-10,3.1120733333333335
2016-11-11,3.1281499999999998
2016-11-14,3.14777
2016-11-15,3.1660166666666667
2016-11-16,3.1582783333333335
2016-11-17,3.144788333333333
2016-11-18,3.135495
2016-11-21,3.1183416666666663
2016-11-22,3.117125
2016-11-23,3.1178683333333335
2016-11-24,3.1202566666666667
2016-11-25,3.1241266666666667
2016-11-28,3.1188233333333333
2016-11-29,3.1203549999999995
2016-11-30,3.11908
2016-12-01,3.115196666666667
2016-12-02,3.1186333333333334
2016-12-05,3.1093516666666665
2016-12-06,3.098521666666667
2016-12-07,3.0941933333333336
2016-12-08,3.0777183333333338
2016-12-09,3.055086666666667
2016-12-12,3.064573333333333
2016-12-13,3.05532
2016-12-14,3.041278333333333
2016-12-15,3.040425
2016-12-16,3.0414116666666664
2016-12-19,3.0432416666666664
2016-12-20,3.0414416666666666
2016-12-21,3.043615
2016-12-22,3.0378249999999998
2016-12-23,3.0326916666666666
2016-12-26,3.022581666666667
2016-12-27,3.0181316666666667
2016-12-28,3.018143333333333
2016-12-29,3.0152566666666667
2016-12-30,3.0138499999999997
2017-01-03,2.9984183333333334
2017-01-04,2.993418333333333
2017-01-05,2.9897566666666666
2017-01-06,2.9855466666666666
2017-01-09,2.979795
2017-01-10,2.97176
2017-01-11,2.9623283333333332
2017-01-12,2.9484133333333333
2017-01-13,2.930705
2017-01-16,2.9283766666666664
2017-01-17,2.9122399999999997
2017-01-18,2.8882816666666664
2017-01-19,2.857605
2017-01-20,2.8403766666666663
2017-01-23,2.8195166666666664
2017-01-24,2.801455
2017-01-25,2.7768083333333333
2017-01-26,2.7429300000000003
2017-02-03,2.6999199999999997
2017-02-06,2.6737200000000003
2017-02-07,2.6544049999999997
2017-02-08,2.6386716666666667
2017-02-09,2.614621666666667
2017-02-10,2.595235
2017-02-13,2.5685016666666667
2017-02-14,2.5388050000000004
2017-02-15,2.522245
2017-02-16,2.4995583333333333
2017-02-17,2.491045
2017-02-20,2.4825266666666663
2017-02-21,2.481711666666667
2017-02-22,2.4762916666666666
2017-02-23,2.47207
2017-02-24,2.464341666666667
2017-02-27,2.4558066666666667
2017-02-28,2.4457733333333334
2017-03-01,2.4385383333333333
2017-03-02,2.4375033333333334
2017-03-03,2.43714
2017-03-06,2.4326316666666665
2017-03-07,2.4386183333333333
2017-03-08,2.444915
2017-03-09,2.447528333333333
2017-03-10,2.4431516666666666
2017-03-13,2.4428116666666666
2017-03-14,2.4218450000000002
2017-03-15,2.4174066666666665
2017-03-16,2.419766666666667
2017-03-17,2.428465
2017-03-20,2.4299150000000003
2017-03-21,2.4282850000000002
2017-03-22,2.4351249999999998
2017-03-23,2.4433183333333335
2017-03-24,2.4486166666666667
2017-03-27,2.4530583333333333
2017-03-28,2.455735
2017-03-29,2.4668533333333333
2017-03-30,2.48457
2017-03-31,2.493193333333333
2017-04-05,2.5096333333333334
2017-04-06,2.5240750000000003
2017-04-07,2.528325
2017-04-10,2.538098333333333
2017-04-11,2.5549566666666665
2017-04-12,2.572015
2017-04-13,2.579701666666667
2017-04-14,2.5880633333333334
2017-04-17,2.5937233333333336
2017-04-18,2.5967100000000003
2017-04-19,2.5913500000000003
2017-04-20,2.5921049999999997
2017-04-21,2.5938266666666667
2017-04-24,2.6024299999999996
2017-04-25,2.60405
2017-04-26,2.605225
2017-04-27,2.621471666666667
2017-04-28,2.629696666666667
2017-05-02,2.6387733333333334
2017-05-03,2.654455
2017-05-04,2.6620933333333334
2017-05-05,2.662285
2017-05-08,2.6592633333333335
2017-05-09,2.6467983333333334
2017-05-10,2.63596
2017-05-11,2.6351783333333336
2017-05-12,2.6268599999999998
2017-05-15,2.6092999999999997
2017-05-16,2.60731
2017-05-17,2.600308333333333
2017-05-18,2.590895
2017-05-19,2.573558333333333
2017-05-22,2.5584466666666668
2017-05-23,2.5413783333333333
2017-05-24,2.527956666666667
2017-05-25,2.5207150000000005
2017-05-26,2.5152550000000002
2017-05-31,2.5014416666666666
2017-06-01,2.4913666666666665
2017-06-02,2.48306
2017-06-05,2.4685383333333335
2017-06-06,2.450815
2017-06-07,2.451201666666667
2017-06-08,2.4475350000000002
2017-06-09,2.4459916666666666
2017-06-12,2.4413449999999997
2017-06-13,2.434935
2017-06-14,2.43189
2017-06-15,2.427268333333333
2017-06-16,2.4116083333333336
2017-06-19,2.401123333333333
2017-06-20,2.4023283333333336
2017-06-21,2.394826666666667
2017-06-22,2.3884833333333333
2017-06-23,2.3806300000000005
2017-06-26,2.3717116666666667
2017-06-27,2.366075
2017-06-28,2.3507016666666667
2017-06-29,2.3264433333333328
2017-06-30,2.31261
2017-07-03,2.2962016666666667
2017-07-04,2.279188333333333
2017-07-05,2.2665366666666666
2017-07-06,2.2559216666666666
2017-07-07,2.23399
2017-07-10,2.2181566666666668
2017-07-11,2.2080716666666667
2017-07-12,2.1985033333333335
2017-07-13,2.1910516666666666
2017-07-14,2.182618333333333
2017-07-17,2.1884366666666666
2017-07-18,2.1869783333333337
2017-07-19,2.199676666666667
2017-07-20,2.2093100000000003
2017-07-21,2.220686666666667
2017-07-24,2.2337350000000002
2017-07-25,2.2281633333333333
2017-07-26,2.2363566666666665
2017-07-27,2.25829
2017-07-28,2.266608333333333
2017-07-31,2.2811966666666663
2017-08-01,2.2968866666666665
2017-08-02,2.3164666666666665
2017-08-03,2.3351916666666668
2017-08-04,2.353396666666667
2017-08-07,2.3548983333333333
2017-08-08,2.375738333333333
2017-08-09,2.3966016666666667
2017-08-10,2.4063166666666667
2017-08-11,2.41711
2017-08-14,2.4276783333333336
2017-08-15,2.4395033333333336
2017-08-16,2.4539783333333336
2017-08-17,2.4716766666666667
2017-08-18,2.4886116666666664
2017-08-21,2.496623333333333
2017-08-22,2.5076533333333333
2017-08-23,2.514216666666667
2017-08-24,2.5176749999999997
2017-08-25,2.522435
2017-08-28,2.5401366666666667
2017-08-29,2.5575466666666666
2017-08-30,2.5627566666666666
2017-08-31,2.568566666666667
2017-09-01,2.588033333333333
2017-09-04,2.6114016666666666
2017-09-05,2.629491666666667
2017-09-06,2.6475383333333338
2017-09-07,2.662575
2017-09-08,2.676915
2017-09-11,2.6950933333333333
2017-09-12,2.722376666666667
2017-09-13,2.7348133333333333
2017-09-14,2.747425
2017-09-15,2.7611416666666666
2017-09-18,2.77162
2017-09-19,2.7850183333333334
2017-09-20,2.804148333333333
2017-09-21,2.8244616666666666
2017-09-22,2.8398
2017-09-25,2.845905
2017-09-26,2.8468333333333335
2017-09-27,2.8446700000000003
2017-09-28,2.8369183333333328
2017-09-29,2.8315600000000005
2017-10-09,2.83094
2017-10-10,2.8342683333333336
2017-10-11,2.8434299999999997
2017-10-12,2.8502099999999997
2017-10-13,2.856328333333333
2017-10-16,2.85057
2017-10-17,2.844281666666667
2017-10-18,2.834291666666666
2017-10-19,2.8226999999999998
2017-10-20,2.807323333333333
2017-10-23,2.7907916666666663
2017-10-24,2.7809383333333333
2017-10-25,2.767931666666667
2017-10-26,2.748755
2017-10-27,2.7362716666666667
2017-10-30,2.7242783333333334
2017-10-31,2.7022083333333335
2017-11-01,2.679575
2017-11-02,2.6617866666666665
2017-11-03,2.6412916666666666
2017-11-06,2.6286883333333333
2017-11-07,2.610198333333334
2017-11-08,2.597376666666667
2017-11-09,2.5798716666666666
2017-11-10,2.5665383333333334
2017-11-13,2.5616033333333332
2017-11-14,2.5581566666666666
2017-11-15,2.54215
2017-11-16,2.51907
2017-11-17,2.5150433333333333
2017-11-20,2.5045116666666667
2017-11-21,2.4930316666666665
2017-11-22,2.490846666666667
2017-11-23,2.489993333333333
2017-11-24,2.4814416666666665
2017-11-27,2.463038333333333
2017-11-28,2.4451483333333335
2017-11-29,2.4320466666666665
2017-11-30,2.417865
2017-12-01,2.3929233333333335
2017-12-04,2.364015
2017-12-05,2.347425
2017-12-06,2.32408
2017-12-07,2.295313333333333
2017-12-08,2.2745450000000003
2017-12-11,2.254316666666667
2017-12-12,2.2189249999999996
2017-12-13,2.1976549999999997
2017-12-14,2.173576666666667
2017-12-15,2.155178333333333
2017-12-18,2.1391966666666664
