date,932000.CSI_均线_120日
2015-06-11,2347.0192108333335
2015-06-12,2368.7627508333335
2015-06-15,2390.223381666667
2015-06-16,2410.2715574999997
2015-06-17,2431.1078575
2015-06-18,2451.173378333333
2015-06-19,2469.722724166667
2015-06-23,2488.241000833333
2015-06-24,2507.2442891666665
2015-06-25,2525.0138825000004
2015-06-26,2540.2931308333336
2015-06-29,2553.7763108333334
2015-06-30,2568.2807358333334
2015-07-01,2581.0412208333337
2015-07-02,2592.0568425
2015-07-03,2601.2828016666667
2015-07-06,2609.2969258333333
2015-07-07,2616.0564891666663
2015-07-08,2622.2687166666665
2015-07-09,2629.3290774999996
2015-07-10,2636.9297158333334
2015-07-13,2645.5782825
2015-07-14,2654.7648891666668
2015-07-15,2662.823445
2015-07-16,2671.216428333333
2015-07-17,2680.188075
2015-07-20,2689.5117975000003
2015-07-21,2699.2526241666665
2015-07-22,2709.591355833333
2015-07-23,2720.5174075
2015-07-24,2731.1169016666668
2015-07-27,2740.141758333333
2015-07-28,2748.2841383333334
2015-07-29,2757.615699166666
2015-07-30,2766.330040833333
2015-07-31,2774.3021941666666
2015-08-03,2781.0708566666663
2015-08-04,2789.141561666667
2015-08-05,2797.377014166667
2015-08-06,2805.7122075
2015-08-07,2814.7532775
2015-08-10,2824.7038308333335
2015-08-11,2834.826193333334
2015-08-12,2844.4155758333336
2015-08-13,2854.3984641666666
2015-08-14,2864.6592133333334
2015-08-17,2875.3384241666663
2015-08-18,2884.241080833333
2015-08-19,2893.5208716666666
2015-08-20,2901.54228
2015-08-21,2908.358475833333
2015-08-24,2913.2534299999998
2015-08-25,2916.592188333333
2015-08-26,2919.3663691666666
2015-08-27,2922.3985858333335
2015-08-28,2926.252488333333
2015-08-31,2929.3803575
2015-09-01,2931.5506100000002
2015-09-02,2932.73027
2015-09-07,2933.660491666667
2015-09-08,2935.117896666667
2015-09-09,2937.0157575
2015-09-10,2938.5168466666664
2015-09-11,2939.9685241666666
2015-09-14,2939.6367325
2015-09-15,2938.1898575
2015-09-16,2937.447289166667
2015-09-17,2936.5944499999996
2015-09-18,2935.717361666667
2015-09-21,2935.3850725
2015-09-22,2935.053070833333
2015-09-23,2934.1196425000003
2015-09-24,2932.9276
2015-09-25,2930.4604483333333
2015-09-28,2927.95232
2015-09-29,2925.2806591666663
2015-09-30,2922.766753333333
2015-10-08,2920.3486916666666
2015-10-09,2917.726906666667
2015-10-12,2915.8516783333334
2015-10-13,2915.0882641666667
2015-10-14,2913.967899166667
2015-10-15,2913.3557674999997
2015-10-16,2913.5492741666667
2015-10-19,2913.0596033333336
2015-10-20,2912.232733333333
2015-10-21,2909.7510408333333
2015-10-22,2908.008948333333
2015-10-23,2906.821069166667
2015-10-26,2906.553256666667
2015-10-27,2905.8470483333335
2015-10-28,2904.5136233333333
2015-10-29,2903.1985141666664
2015-10-30,2902.3659408333333
2015-11-02,2901.160250833333
2015-11-03,2900.390038333333
2015-11-04,2899.6950266666668
2015-11-05,2897.9288691666666
2015-11-06,2896.1421341666664
2015-11-09,2894.3138716666663
2015-11-10,2892.2573141666667
2015-11-11,2890.762810833333
2015-11-12,2888.5793408333334
2015-11-13,2885.0603016666664
2015-11-16,2881.3019383333335
2015-11-17,2876.2129016666663
2015-11-18,2870.3941575
2015-11-19,2864.8292308333334
2015-11-20,2858.6119858333336
2015-11-23,2851.682209166667
2015-11-24,2846.5579441666664
2015-11-25,2841.499120833333
2015-11-26,2834.7321766666664
2015-11-27,2824.849225833333
2015-11-30,2814.81425
2015-12-01,2805.2244266666667
2015-12-02,2794.9421933333338
2015-12-03,2786.3417658333333
2015-12-04,2777.8348199999996
2015-12-07,2768.9833458333333
2015-12-08,2758.9525566666666
2015-12-09,2748.0486166666665
2015-12-10,2737.4319941666668
2015-12-11,2728.220463333333
2015-12-14,2718.7366933333333
2015-12-15,2710.672679166667
2015-12-16,2705.2996191666666
2015-12-17,2700.986931666667
2015-12-18,2695.8152916666663
2015-12-21,2691.9283933333336
2015-12-22,2690.8752
2015-12-23,2691.6685475
2015-12-24,2691.7879891666666
2015-12-25,2693.7795016666664
2015-12-28,2696.7136183333337
2015-12-29,2701.4913333333334
2015-12-30,2707.813113333333
2015-12-31,2714.795521666667
2016-01-04,2720.1745458333335
2016-01-05,2724.2303008333333
2016-01-06,2728.2622083333335
2016-01-07,2729.2433066666663
2016-01-08,2729.713708333333
2016-01-11,2729.49393
2016-01-12,2729.1561008333333
2016-01-13,2726.9106841666667
2016-01-14,2724.791529166667
2016-01-15,2721.2547350000004
2016-01-18,2717.7663783333333
2016-01-19,2714.252554166667
2016-01-20,2710.9306833333335
2016-01-21,2708.266675
2016-01-22,2706.91343
2016-01-25,2704.8123883333333
2016-01-26,2701.7467925
2016-01-27,2698.9680141666668
2016-01-28,2696.4312475
2016-01-29,2693.304126666667
2016-02-01,2690.0547533333333
2016-02-02,2687.5675116666666
2016-02-03,2684.43585
2016-02-04,2680.7049541666665
2016-02-05,2676.4625075
2016-02-15,2672.552783333333
2016-02-16,2668.7755516666666
2016-02-17,2664.9683091666666
2016-02-18,2660.6797075000004
2016-02-19,2658.226146666667
2016-02-22,2655.6597608333336
2016-02-23,2653.8762175
2016-02-24,2653.2884016666667
2016-02-25,2652.5849308333336
2016-02-26,2653.2256375
2016-02-29,2653.3253858333337
2016-03-01,2653.3125325
2016-03-02,2653.112669166667
2016-03-03,2653.583141666667
2016-03-04,2654.4000191666664
2016-03-07,2656.4887891666667
2016-03-08,2658.463971666666
2016-03-09,2659.1986125
2016-03-10,2658.8255166666668
2016-03-11,2658.6776525
2016-03-14,2659.0609875000005
2016-03-15,2660.573425833333
2016-03-16,2662.8320783333334
2016-03-17,2664.7463991666664
2016-03-18,2667.7778150000004
2016-03-21,2671.2379666666666
2016-03-22,2674.088626666666
2016-03-23,2677.0094633333333
2016-03-24,2679.8077833333327
2016-03-25,2682.4844758333334
2016-03-28,2685.8137666666667
2016-03-29,2688.2781824999997
2016-03-30,2691.8566375000005
2016-03-31,2695.7206966666668
2016-04-01,2698.8737016666664
2016-04-05,2702.310845833333
2016-04-06,2705.0832225
2016-04-07,2707.1411841666672
2016-04-08,2709.1658099999995
2016-04-11,2711.079748333333
2016-04-12,2712.520371666667
2016-04-13,2714.1977583333332
2016-04-14,2715.855325
2016-04-15,2718.9432808333336
2016-04-18,2720.9971116666666
2016-04-19,2722.4704991666667
2016-04-20,2722.7217416666667
2016-04-21,2722.5439483333334
2016-04-22,2723.0114275
2016-04-25,2723.160049166667
2016-04-26,2723.65609
2016-04-27,2724.6430575
2016-04-28,2725.5611008333335
2016-04-29,2725.5041300000003
2016-05-03,2726.0725758333338
2016-05-04,2726.023770833334
2016-05-05,2725.7552258333335
2016-05-06,2724.3243025
2016-05-09,2721.3274441666667
2016-05-10,2718.0158666666666
2016-05-11,2714.959355
2016-05-12,2711.086830833333
2016-05-13,2707.3406775
2016-05-16,2704.4197075
2016-05-17,2700.787550833333
2016-05-18,2695.8699016666665
2016-05-19,2691.142436666667
2016-05-20,2686.2488841666664
2016-05-23,2681.16862
2016-05-24,2675.9745316666667
2016-05-25,2672.2523491666666
2016-05-26,2668.3266075
2016-05-27,2664.480719166667
2016-05-30,2660.938780833333
2016-05-31,2657.4078766666667
2016-06-01,2653.965844166667
2016-06-02,2650.2852391666665
2016-06-03,2647.0577466666664
2016-06-06,2644.111135
2016-06-07,2641.3606050000003
2016-06-08,2638.8422083333335
2016-06-13,2634.703516666667
2016-06-14,2630.2779366666664
2016-06-15,2626.290321666667
2016-06-16,2621.503966666666
2016-06-17,2616.9089650000005
2016-06-20,2612.1932766666664
2016-06-21,2606.8773325
2016-06-22,2602.20302
2016-06-23,2597.276923333333
2016-06-24,2591.980539166667
2016-06-27,2587.961315833333
2016-06-28,2583.9495549999997
2016-06-29,2579.7247375
2016-06-30,2576.0653975
2016-07-01,2574.6085224999997
2016-07-04,2574.228499166667
2016-07-05,2573.249433333333
2016-07-06,2574.4111175000003
2016-07-07,2575.4814908333337
2016-07-08,2578.1773058333333
2016-07-11,2580.6677724999995
2016-07-12,2584.1559525
2016-07-13,2587.0575566666666
2016-07-14,2590.8102366666662
2016-07-15,2593.981021666667
2016-07-18,2596.2283708333334
2016-07-19,2598.67782
2016-07-20,2602.1569858333332
2016-07-21,2605.27015
2016-07-22,2607.862306666667
2016-07-25,2612.0583758333332
2016-07-26,2616.7755583333337
2016-07-27,2621.222288333333
2016-07-28,2624.9109249999997
2016-07-29,2628.6194016666664
2016-08-01,2631.2018850000004
2016-08-02,2633.8431283333334
2016-08-03,2636.1110875
2016-08-04,2638.7438216666665
2016-08-05,2641.1894225
2016-08-08,2642.998271666667
2016-08-09,2644.7429941666664
2016-08-10,2646.4685925
2016-08-11,2647.661533333333
2016-08-12,2648.5700399999996
2016-08-15,2650.0505175
2016-08-16,2651.7676975
2016-08-17,2655.3055841666664
2016-08-18,2658.9172458333333
2016-08-19,2663.8559758333336
2016-08-22,2668.121563333333
2016-08-23,2671.5812925
2016-08-24,2675.1413641666663
2016-08-25,2679.3408783333334
2016-08-26,2683.1693499999997
2016-08-29,2686.8905908333336
2016-08-30,2691.061493333333
2016-08-31,2695.6267883333335
2016-09-01,2700.0951325
2016-09-02,2703.7249616666663
2016-09-05,2707.614315
2016-09-06,2712.0750966666665
2016-09-07,2715.9036966666667
2016-09-08,2719.097768333333
2016-09-09,2721.6039299999998
2016-09-12,2723.4209608333335
2016-09-13,2725.2926408333337
2016-09-14,2727.2845266666673
2016-09-19,2729.42726
2016-09-20,2731.7088366666667
2016-09-21,2734.533518333333
2016-09-22,2736.717381666667
2016-09-23,2738.5994466666666
2016-09-26,2739.9623308333335
2016-09-27,2740.886940833333
2016-09-28,2741.6110991666665
2016-09-29,2742.7750499999997
2016-09-30,2744.296015833334
2016-10-10,2745.8788216666667
2016-10-11,2747.825055833333
2016-10-12,2749.488525
2016-10-13,2750.8988066666666
2016-10-14,2752.245340833333
2016-10-17,2753.59388
2016-10-18,2755.30433
2016-10-19,2758.054658333333
2016-10-20,2761.1999674999997
2016-10-21,2764.0479266666666
2016-10-24,2767.125990833333
2016-10-25,2770.0177825
2016-10-26,2772.865871666667
2016-10-27,2775.833739166667
2016-10-28,2778.473895
2016-10-31,2780.461555833333
2016-11-01,2782.7817225000003
2016-11-02,2784.846453333333
2016-11-03,2788.0600775
2016-11-04,2792.2338516666664
2016-11-07,2796.5425133333333
2016-11-08,2801.3027908333333
2016-11-09,2806.06789
2016-11-10,2811.2886716666667
2016-11-11,2816.1997874999997
2016-11-14,2821.2272258333333
2016-11-15,2827.1740125
2016-11-16,2833.01348
2016-11-17,2838.5765858333334
2016-11-18,2843.7754875
2016-11-21,2849.319671666666
2016-11-22,2855.1908175000003
2016-11-23,2860.83945
2016-11-24,2866.3194966666665
2016-11-25,2871.8667425000003
2016-11-28,2876.5354383333333
2016-11-29,2880.5386933333334
2016-11-30,2884.223813333333
2016-12-01,2887.972036666667
2016-12-02,2891.0915525
2016-12-05,2893.9520325
2016-12-06,2896.9510433333335
2016-12-07,2901.4735358333332
2016-12-08,2905.7734375
2016-12-09,2909.204824166666
2016-12-12,2911.1408325
2016-12-13,2913.0936724999997
2016-12-14,2914.896746666667
2016-12-15,2917.2536383333336
2016-12-16,2919.5305708333335
2016-12-19,2921.932951666667
2016-12-20,2924.532585833333
2016-12-21,2926.8177866666665
2016-12-22,2928.724179166667
2016-12-23,2930.219460833333
2016-12-26,2931.8688458333336
2016-12-27,2933.6836791666665
2016-12-28,2935.0102833333335
2016-12-29,2936.1184483333336
2016-12-30,2937.1254091666665
2017-01-03,2938.3976425
2017-01-04,2940.0258049999998
2017-01-05,2941.878019166667
2017-01-06,2943.3353216666665
2017-01-09,2944.7182066666664
2017-01-10,2945.995818333334
