date,000905.SH_成交额
2016-03-17,106177927914.0
2016-03-18,157756130598.0
2016-03-21,166761329284.0
2016-03-22,139915752245.0
2016-03-23,118558592213.0
2016-03-24,134875739391.99998
2016-03-25,103214951247.0
2016-03-28,124277859799.0
2016-03-29,99950096210.0
2016-03-30,116510738653.0
2016-03-31,130216390845.0
2016-04-01,109236062243.0
2016-04-05,137359798704.0
2016-04-06,139410353254.0
2016-04-07,145352446359.0
2016-04-08,117273506090.0
2016-04-11,136135424289.99998
2016-04-12,118671124388.0
2016-04-13,168481933211.0
2016-04-14,126151603482.0
2016-04-15,108425432304.0
2016-04-18,106856003924.0
2016-04-19,94250908350.0
2016-04-20,151256619540.0
2016-04-21,106421755467.0
2016-04-22,80109649141.0
2016-04-25,73555799591.0
2016-04-26,73373212045.0
2016-04-27,80741694223.0
2016-04-28,79015956809.0
2016-04-29,66777694275.0
2016-05-03,103426188795.0
2016-05-04,105223343953.0
2016-05-05,91831346308.0
2016-05-06,130809579270.0
2016-05-09,96969986068.0
2016-05-10,66883087275.0
2016-05-11,76234410712.0
2016-05-12,74358072552.0
2016-05-13,70802834355.0
2016-05-16,76918597408.0
2016-05-17,88432065961.0
2016-05-18,79484187005.0
2016-05-19,76915663735.0
2016-05-20,76729349144.0
2016-05-23,85829084667.0
2016-05-24,76372608104.0
2016-05-25,74090916117.0
2016-05-26,79416816225.0
2016-05-27,80771652279.0
2016-05-30,65125799190.0
2016-05-31,123903097325.0
2016-06-01,130683567719.0
2016-06-02,108782016816.0
2016-06-03,117598513465.0
2016-06-06,102119302871.0
2016-06-07,95045442990.0
2016-06-08,102105515520.0
2016-06-13,117810313153.0
2016-06-14,81369911480.0
2016-06-15,122434527649.0
2016-06-16,133397133793.0
2016-06-17,118152309406.0
2016-06-20,100491970325.0
2016-06-21,118730709104.0
2016-06-22,93026461914.0
2016-06-23,103604366492.0
2016-06-24,125507974957.0
2016-06-27,111586009783.0
2016-06-28,127682933115.0
2016-06-29,121775346891.0
2016-06-30,103442608063.0
2016-07-01,96454340221.0
2016-07-04,125652740519.0
2016-07-05,136874960639.0
2016-07-06,121875951293.0
2016-07-07,151625609211.0
2016-07-08,116856242482.0
2016-07-11,139771393776.0
2016-07-12,148468566389.0
2016-07-13,143467356701.0
2016-07-14,124877339066.0
2016-07-15,120337712841.0
2016-07-18,116299508439.0
2016-07-19,109308249329.0
2016-07-20,101445290824.0
2016-07-21,117363958834.0
2016-07-22,114814545560.0
2016-07-25,105671170636.0
2016-07-26,103166813043.0
2016-07-27,174673313375.0
2016-07-28,114438917848.0
2016-07-29,90326551800.0
2016-08-01,87691638034.0
2016-08-02,66288104959.0
2016-08-03,80885121046.0
2016-08-04,84228162264.0
2016-08-05,81408223905.0
2016-08-08,87087721739.0
2016-08-09,92794683063.0
2016-08-10,91372973411.0
2016-08-11,84068495381.0
2016-08-12,77608881956.0
2016-08-15,136188716932.00002
2016-08-16,130364641339.0
2016-08-17,110221545679.0
2016-08-18,120247896486.0
2016-08-19,100807655148.0
2016-08-22,101907818836.0
2016-08-23,86882141020.0
2016-08-24,83336139396.0
2016-08-25,90859885170.0
2016-08-26,88200838749.0
2016-08-29,82355641766.0
2016-08-30,74080579914.0
2016-08-31,75033509484.0
2016-09-01,81004501535.0
2016-09-02,78519545108.0
2016-09-05,76419151271.0
2016-09-06,104828522285.0
2016-09-07,109431482868.0
2016-09-08,87823608439.0
2016-09-09,95311303692.0
2016-09-12,104742908972.0
2016-09-13,81512867167.0
2016-09-14,69112385410.0
2016-09-19,63813913419.0
2016-09-20,62741951536.0
2016-09-21,60152141209.0
2016-09-22,73959516342.0
2016-09-23,72046479365.0
2016-09-26,80920791482.0
2016-09-27,63613816981.0
2016-09-28,55557965880.0
2016-09-29,58112818885.0
2016-09-30,52590567656.0
