date,000852.SH_动量_120日
2019-08-12,0.18898309787627188
2019-08-13,-0.710879721587987
2019-08-14,-0.10647992846603005
2019-08-15,0.7632560698415114
2019-08-16,-0.9077323152214101
2019-08-19,-2.8374058747198228
2019-08-20,-2.6013995303392434
2019-08-21,-2.328555708372526
2019-08-22,-2.2847926826120357
2019-08-23,-3.109743013251842
2019-08-26,-5.720575047126674
2019-08-27,-6.855800052413152
2019-08-28,-9.01502883897749
2019-08-29,-10.486925504229216
2019-08-30,-7.994633784877103
2019-09-02,-9.509465242152338
2019-09-03,-10.807497240591179
2019-09-04,-8.04425597897862
2019-09-05,-4.278049251404958
2019-09-06,-5.342629356145379
2019-09-09,-5.309056086600517
2019-09-10,-5.508884897840471
2019-09-11,-6.070720724407219
2019-09-12,-6.63897501678703
2019-09-16,-6.439566784252159
2019-09-17,-7.87080110961872
2019-09-18,-5.225678866305461
2019-09-19,-4.739011764641276
2019-09-20,-3.3296859490432595
2019-09-23,-6.935922902713076
2019-09-24,-9.919629450175037
2019-09-25,-12.19958787630433
2019-09-26,-15.920103459731372
2019-09-27,-15.473208404475368
2019-09-30,-16.015941282529646
2019-10-08,-16.143806927306127
2019-10-09,-15.24377846770405
2019-10-10,-12.117741658855618
2019-10-11,-11.973871716642181
2019-10-14,-9.855269761787433
2019-10-15,-13.014529529819152
2019-10-16,-14.133458870614568
2019-10-17,-13.79330819304071
2019-10-18,-15.582419381345469
2019-10-21,-15.258784110014501
2019-10-22,-12.599130225798561
2019-10-23,-14.36066831773476
2019-10-24,-10.855295205680193
2019-10-25,-9.157499821660497
2019-10-28,-3.4989905885732586
2019-10-29,-5.552062896651755
2019-10-30,1.2690844046611804
2019-10-31,-1.1033401248678687
2019-11-01,0.21245304823720446
2019-11-04,1.8950348203718104
2019-11-05,-1.7163667305466368
2019-11-06,-1.8642967308732494
2019-11-07,-0.5226621488264471
2019-11-08,-3.000309948998303
2019-11-11,-6.218326277988218
2019-11-12,-2.5186915224299056
2019-11-13,-2.47794476537464
2019-11-14,-3.717237284819308
2019-11-15,-4.501331765982175
2019-11-18,-1.4896921626083914
2019-11-19,1.6415787342422439
2019-11-20,-1.7772325802286493
2019-11-21,-1.9396751764404807
2019-11-22,-3.6343856728687896
2019-11-25,-3.5681879994952426
2019-11-26,-3.4966411477292403
2019-11-27,-2.0762163621035445
2019-11-28,-0.5783498081535665
2019-11-29,-0.6174433434192772
2019-12-02,2.1265601766557785
2019-12-03,1.4202544870958844
2019-12-04,-2.0782175399489122
2019-12-05,-0.5081952295226344
2019-12-06,-0.3513846749573335
2019-12-09,2.3431547446162604
2019-12-10,3.2105950685575424
2019-12-11,2.7902886219967504
2019-12-12,1.340164511408104
2019-12-13,1.1033116368990958
2019-12-16,1.3123913252584218
2019-12-17,2.624452234808694
2019-12-18,3.589468133971452
2019-12-19,4.049825550029906
2019-12-20,1.9191279959400953
2019-12-23,1.0458385730715891
2019-12-24,-0.1764728869145138
2019-12-25,0.3811752133439983
2019-12-26,2.1212084146339905
2019-12-27,1.7493539873816522
2019-12-30,1.9495007448310453
2019-12-31,6.154662899352115
2020-01-02,7.912304586192898
2020-01-03,9.423456147275711
2020-01-06,10.724013922484033
2020-01-07,12.131618997956162
2020-01-08,9.455383226578217
2020-01-09,10.95417246821282
2020-01-10,10.633830025059066
2020-01-13,14.093871720713459
2020-01-14,13.29659329559445
2020-01-15,16.560804640231396
2020-01-16,15.02669809048447
2020-01-17,13.178164286062156
2020-01-20,14.273052268684584
2020-01-21,13.136078356603708
2020-01-22,13.424145788094233
2020-01-23,8.765551719280484
2020-02-03,0.0013057455013454344
2020-02-04,0.7513895238619783
2020-02-05,5.0535121022753815
2020-02-06,9.597322456184143
2020-02-07,13.955205380054991
2020-02-10,15.88642955626456
2020-02-11,14.216643104008453
2020-02-12,18.162279361231093
2020-02-13,15.252067604225171
2020-02-14,16.21933669892499
2020-02-17,19.644925717244345
2020-02-18,21.799000216892406
2020-02-19,20.034937492999028
2020-02-20,18.580680195607478
2020-02-21,20.408080574162348
2020-02-24,23.016767869984278
2020-02-25,23.011988744664546
2020-02-26,19.707117284782804
2020-02-27,20.574104082096788
2020-02-28,11.47423112482775
2020-03-02,16.30907092291065
2020-03-03,17.771352533010386
2020-03-04,20.13479567787144
2020-03-05,18.773772418124768
2020-03-06,17.540930050759385
2020-03-09,12.139952827459766
2020-03-10,13.971597082056153
2020-03-11,11.967725972385889
2020-03-12,7.093551624049921
2020-03-13,5.8933911229194225
2020-03-16,1.6413887569117103
2020-03-17,0.8939370793254131
2020-03-18,-1.2639777345720415
2020-03-19,2.2754431794313357
2020-03-20,3.3648610683852276
2020-03-23,-2.411289751858192
2020-03-24,-0.705886045504811
2020-03-25,2.6432416345568033
2020-03-26,1.2035031461723467
2020-03-27,2.4344639716577854
2020-03-30,3.2671929315448933
2020-03-31,2.56445514156185
2020-04-01,3.266511371054115
2020-04-02,5.755431509191888
2020-04-03,4.1998700017802815
2020-04-07,6.116043647634828
2020-04-08,6.469865560695864
2020-04-09,6.115877421069094
2020-04-10,4.873991187620463
2020-04-13,4.218941720212488
2020-04-14,6.446911677671308
2020-04-15,7.147305828480466
2020-04-16,8.64563405220613
2020-04-17,7.484197899789646
2020-04-20,10.12728089572079
2020-04-21,9.76438526086687
2020-04-22,9.933130812408365
2020-04-23,6.7037224060020995
2020-04-24,5.753108433655929
2020-04-27,6.252848684968537
2020-04-28,5.8493234648953285
2020-04-29,4.593473536575909
2020-04-30,6.390805374741015
2020-05-06,8.414659324697539
2020-05-07,9.256340923957707
2020-05-08,9.786117152688245
2020-05-11,9.9595625740037
2020-05-12,13.232873375654108
2020-05-13,13.860901979003959
