date,932000.CSI_成交额
2015-07-20,63397598207.0
2015-07-21,61102369125.0
2015-07-22,67830248287.0
2015-07-23,72652198496.0
2015-07-24,77945231177.0
2015-07-27,66287299447.0
2015-07-28,61473079377.0
2015-07-29,58375783351.0
2015-07-30,63892478792.0
2015-07-31,46156862854.0
2015-08-03,39204394472.0
2015-08-04,46570101457.0
2015-08-05,54284781811.0
2015-08-06,40511280851.0
2015-08-07,50118820318.0
2015-08-10,62534550581.0
2015-08-11,71005232694.0
2015-08-12,59762387098.0
2015-08-13,59811569865.0
2015-08-14,70779927755.0
2015-08-17,66978756489.0
2015-08-18,80045191814.0
2015-08-19,66298520687.0
2015-08-20,56022764295.0
2015-08-21,45839606734.0
2015-08-24,26818027037.0
2015-08-25,24865634950.0
2015-08-26,42313533283.0
2015-08-27,33822396117.0
2015-08-28,40675781338.0
2015-08-31,37876958406.0
2015-09-01,28568439420.0
2015-09-02,28385227652.0
2015-09-07,27789303502.0
2015-09-08,27470832433.0
2015-09-09,41835070564.0
2015-09-10,35993339069.0
2015-09-11,30458671262.0
2015-09-14,38162971523.0
2015-09-15,25674596763.0
2015-09-16,34775195890.0
2015-09-17,41416433764.0
2015-09-18,27609409128.0
2015-09-21,32926104118.0
2015-09-22,38703676788.0
2015-09-23,36692814128.0
2015-09-24,40456471378.0
2015-09-25,38075093976.0
2015-09-28,30548203142.0
2015-09-29,31311497800.0
2015-09-30,27685425272.0
2015-10-08,39685884824.0
2015-10-09,41822848280.0
2015-10-12,57639670375.0
2015-10-13,53899685580.0
2015-10-14,56580538303.0
2015-10-15,57436018344.0
2015-10-16,65529140853.0
2015-10-19,66910706417.0
2015-10-20,62620493302.0
2015-10-21,71294929953.0
2015-10-22,58262396311.0
2015-10-23,65318874495.0
2015-10-26,70005484706.0
2015-10-27,65021164760.0
2015-10-28,59371171012.0
2015-10-29,51069286577.0
2015-10-30,51436993227.0
2015-11-02,45510590011.0
2015-11-03,41976741415.0
2015-11-04,57858667279.0
2015-11-05,67130579091.00001
2015-11-06,64100559380.0
2015-11-09,71684824056.0
2015-11-10,65585574965.0
2015-11-11,68211989007.0
2015-11-12,77243653354.0
2015-11-13,68686839048.99999
2015-11-16,55971553258.0
2015-11-17,75233673208.0
2015-11-18,59853043844.0
2015-11-19,55129774162.0
2015-11-20,71591330257.0
2015-11-23,76335376415.0
2015-11-24,62554121596.0
2015-11-25,71786204402.0
2015-11-26,73598320483.0
2015-11-27,75086912681.0
2015-11-30,66400893912.0
2015-12-01,60259877897.0
2015-12-02,51666758353.0
2015-12-03,50097719627.0
2015-12-04,59706573648.0
2015-12-07,57033034171.0
2015-12-08,59770148761.0
2015-12-09,51255427139.0
2015-12-10,48912594377.0
2015-12-11,43732464318.0
2015-12-14,56382723923.0
2015-12-15,60940794511.0
2015-12-16,69422595090.0
2015-12-17,90572735834.0
2015-12-18,93252368393.0
2015-12-21,78742426803.0
2015-12-22,79269003690.0
2015-12-23,90395243404.0
2015-12-24,72511481964.0
2015-12-25,72051785461.0
2015-12-28,84779804303.0
2015-12-29,63605085304.0
2015-12-30,66414665540.0
2015-12-31,63790106256.0
2016-01-04,50423803750.0
2016-01-05,67737687811.00001
2016-01-06,59650469759.0
2016-01-07,15593741964.0
2016-01-08,62279898888.0
2016-01-11,52128944348.0
2016-01-12,44772616447.0
2016-01-13,41122991552.0
2016-01-14,44545723956.0
2016-01-15,44618453210.0
2016-01-18,41076526329.0
2016-01-19,51143314949.0
2016-01-20,53420260755.0
2016-01-21,49477031526.0
2016-01-22,40754425849.0
2016-01-25,39779986636.0
2016-01-26,44541320520.0
2016-01-27,41750463430.0
2016-01-28,33164379561.0
2016-01-29,34641014668.0
2016-02-01,33073436614.0
2016-02-02,35382677377.0
2016-02-03,33388708463.0
2016-02-04,39339268930.0
2016-02-05,34624726661.0
2016-02-15,28601427913.0
2016-02-16,44119232911.0
2016-02-17,51288972844.0
2016-02-18,54767998856.0
2016-02-19,45679738669.0
2016-02-22,53452970904.0
2016-02-23,52852131427.0
2016-02-24,55566971025.0
2016-02-25,57491574171.0
2016-02-26,44056663091.0
2016-02-29,37616474369.0
2016-03-01,39795782272.0
2016-03-02,50154154038.0
2016-03-03,51257019624.0
2016-03-04,45889835571.0
2016-03-07,38641108009.0
2016-03-08,45267829748.0
2016-03-09,35532539893.0
2016-03-10,31052821030.0
2016-03-11,26080554783.0
2016-03-14,42064330894.0
2016-03-15,35659556664.0
2016-03-16,34690932702.0
2016-03-17,46733910559.0
2016-03-18,64216079717.0
2016-03-21,68752821762.0
2016-03-22,60410065769.0
2016-03-23,53984277641.0
2016-03-24,61184341279.0
2016-03-25,50906639223.0
2016-03-28,57212774808.0
2016-03-29,46374190639.0
2016-03-30,53317615665.0
2016-03-31,66720250349.0
2016-04-01,57858310874.0
2016-04-05,63551179256.0
2016-04-06,63162418358.0
2016-04-07,63791143323.0
2016-04-08,52186593365.0
2016-04-11,57404067657.0
2016-04-12,55258391111.0
2016-04-13,67273328589.0
2016-04-14,57966920066.0
2016-04-15,57479845739.0
2016-04-18,52668721198.0
2016-04-19,52215822286.0
2016-04-20,75728286273.0
2016-04-21,56065215633.0
2016-04-22,43954171475.0
2016-04-25,41639420099.0
2016-04-26,41185830235.0
2016-04-27,46977956863.0
2016-04-28,43443736974.0
2016-04-29,37112699974.0
2016-05-03,51248736655.0
2016-05-04,54402666509.0
2016-05-05,49137859345.0
2016-05-06,66958919534.0
2016-05-09,48549189744.0
2016-05-10,33691792876.999996
2016-05-11,39319147029.0
2016-05-12,36593344139.0
2016-05-13,33780501481.0
2016-05-16,35585840639.0
2016-05-17,42197101696.0
2016-05-18,41080689051.0
2016-05-19,36128215760.0
2016-05-20,34389161410.0
2016-05-23,40537885717.0
2016-05-24,35456626869.0
2016-05-25,35452033452.0
2016-05-26,36063871077.0
2016-05-27,36633609407.0
2016-05-30,33165405563.0
2016-05-31,54566044527.0
2016-06-01,60982219912.0
2016-06-02,52586013936.0
2016-06-03,57013365348.0
2016-06-06,48683755123.0
2016-06-07,51014017182.0
2016-06-08,56994347773.0
2016-06-13,62016997971.0
2016-06-14,44320851492.0
2016-06-15,58483695026.0
2016-06-16,62386889564.0
2016-06-17,59407840074.0
2016-06-20,56833807357.0
2016-06-21,62083616310.0
2016-06-22,52562191030.0
2016-06-23,54503389026.0
2016-06-24,66198397385.0
2016-06-27,61142227252.0
2016-06-28,71078014135.0
2016-06-29,67137228349.99999
2016-06-30,64151425111.0
2016-07-01,56350947918.0
2016-07-04,63362946650.0
2016-07-05,71093855715.0
2016-07-06,67183088664.00001
2016-07-07,72280486593.0
2016-07-08,59471067388.0
2016-07-11,68295382863.99999
2016-07-12,63884249290.0
2016-07-13,59746003973.0
2016-07-14,55198820861.0
2016-07-15,51410371473.0
2016-07-18,51649992282.0
2016-07-19,48229699058.0
2016-07-20,54208631481.0
2016-07-21,56513676301.0
2016-07-22,49872953540.0
2016-07-25,48476248698.0
2016-07-26,45836997266.0
2016-07-27,71765443120.0
2016-07-28,48192295306.0
2016-07-29,37482032395.0
2016-08-01,37701365111.0
2016-08-02,30921386984.0
2016-08-03,35560416090.0
2016-08-04,37260055639.0
2016-08-05,36089167265.0
2016-08-08,34356647051.0
2016-08-09,39653716586.0
2016-08-10,41546734819.0
2016-08-11,39888846322.0
2016-08-12,34471430304.0
2016-08-15,54368615465.0
2016-08-16,54817485854.0
2016-08-17,58202097890.0
2016-08-18,56826897887.0
2016-08-19,52716711305.0
2016-08-22,51986553771.0
2016-08-23,46322833496.0
2016-08-24,50567460604.0
2016-08-25,51273935674.0
2016-08-26,51572590093.0
2016-08-29,48590875997.0
2016-08-30,49252349340.0
2016-08-31,50252784231.0
2016-09-01,50311725665.0
2016-09-02,44474592691.0
2016-09-05,43855082525.0
2016-09-06,57409086580.0
2016-09-07,65643296862.0
2016-09-08,51086535962.0
2016-09-09,54690131080.0
2016-09-12,54456813200.0
2016-09-13,46860295196.0
2016-09-14,44884077483.0
2016-09-19,42599220748.0
2016-09-20,46035954075.0
2016-09-21,44415237356.0
2016-09-22,48476908412.0
2016-09-23,50978458020.0
2016-09-26,50314234522.0
2016-09-27,42934658951.0
2016-09-28,37275221072.0
2016-09-29,36894754535.0
2016-09-30,35496818640.0
2016-10-10,50104897876.0
2016-10-11,55963392920.0
2016-10-12,52584237620.0
2016-10-13,53657771566.0
2016-10-14,55281163319.0
2016-10-17,59102915195.0
2016-10-18,58993537546.0
2016-10-19,66115711232.0
2016-10-20,65922616648.0
2016-10-21,63325159060.0
2016-10-24,57928556856.0
2016-10-25,60040246972.0
2016-10-26,62752307454.0
2016-10-27,51072708165.0
2016-10-28,61712403682.0
2016-10-31,51071477707.0
2016-11-01,62498544941.0
2016-11-02,70800345436.0
2016-11-03,80213859507.0
2016-11-04,70610480520.0
2016-11-07,60936328269.0
2016-11-08,60592850022.0
2016-11-09,69947883212.0
2016-11-10,69999003991.0
2016-11-11,76745731486.0
2016-11-14,73539996339.0
2016-11-15,69738659340.0
2016-11-16,73014000281.0
2016-11-17,65834318208.0
2016-11-18,64464689356.0
2016-11-21,67106775629.0
2016-11-22,74093428543.0
2016-11-23,73762975813.0
2016-11-24,73801184937.0
2016-11-25,69642622297.0
2016-11-28,60745602636.0
2016-11-29,59208897563.0
2016-11-30,51477723373.0
2016-12-01,50825737984.0
2016-12-02,53953845035.0
2016-12-05,42091557768.0
2016-12-06,40832259291.0
2016-12-07,43735013068.0
2016-12-08,48593172749.0
2016-12-09,45628803088.0
2016-12-12,75552541013.0
2016-12-13,55682385319.0
2016-12-14,60497764823.0
2016-12-15,61355230211.0
2016-12-16,65384521005.0
2016-12-19,59462919519.0
2016-12-20,59071706483.0
2016-12-21,63322945008.0
2016-12-22,56949515477.0
2016-12-23,56469589409.0
2016-12-26,51313822640.0
2016-12-27,56436823334.0
2016-12-28,56920701463.0
2016-12-29,54174924653.0
2016-12-30,52489230887.0
2017-01-03,49569226497.0
2017-01-04,64643459796.0
2017-01-05,69121600266.0
2017-01-06,67571747345.0
2017-01-09,58740930796.0
2017-01-10,61492131345.0
2017-01-11,57204199819.0
2017-01-12,52885802513.0
2017-01-13,53057581409.0
2017-01-16,60827244417.0
2017-01-17,49273688921.0
2017-01-18,45004068822.0
2017-01-19,41853920260.0
2017-01-20,45181117260.0
2017-01-23,44597874776.0
2017-01-24,43053961501.0
2017-01-25,42597897363.0
2017-01-26,35838313929.0
2017-02-03,32893283178.0
2017-02-06,44681208190.0
2017-02-07,49637599495.0
2017-02-08,52776353231.0
2017-02-09,63813117039.0
2017-02-10,64911553070.0
2017-02-13,58227725281.0
2017-02-14,53442894479.0
2017-02-15,61758450801.0
2017-02-16,53629466188.0
2017-02-17,55977249537.0
2017-02-20,53626771501.0
2017-02-21,54138078460.0
2017-02-22,60405100578.0
2017-02-23,59436690901.0
2017-02-24,51801270957.0
2017-02-27,53194265326.0
2017-02-28,47233642318.0
2017-03-01,57364376046.0
2017-03-02,56828233574.0
2017-03-03,53839008156.0
2017-03-06,57236968936.0
2017-03-07,58624254121.0
2017-03-08,55687510217.0
2017-03-09,53835713149.0
2017-03-10,53077470524.0
2017-03-13,54191204498.0
2017-03-14,55046937279.0
2017-03-15,48895844461.0
2017-03-16,58431913585.0
2017-03-17,66848547710.0
2017-03-20,55240719201.0
2017-03-21,53790076802.0
2017-03-22,56020632840.0
2017-03-23,66617362802.0
2017-03-24,61388290158.0
2017-03-27,62933906045.0
2017-03-28,52691240452.0
2017-03-29,61406443806.0
2017-03-30,67930148412.0
2017-03-31,49117716010.0
2017-04-05,48915570525.0
2017-04-06,48636270452.0
2017-04-07,49922413429.0
2017-04-10,58530395609.0
2017-04-11,60379898533.0
2017-04-12,52331835587.0
2017-04-13,41561098834.0
2017-04-14,46566058865.0
2017-04-17,45872221107.0
2017-04-18,42585811039.0
2017-04-19,43839884058.0
2017-04-20,38944569082.0
2017-04-21,30273215451.0
2017-04-24,32275561060.0
2017-04-25,30875155836.0
2017-04-26,31735401967.0
2017-04-27,42396901926.0
2017-04-28,38689135238.0
2017-05-02,35852528353.0
2017-05-03,38972412364.0
2017-05-04,38046760955.0
2017-05-05,37428853317.0
2017-05-08,33170846282.0
