date,881001.WI_均线_20日
2007-01-15,1458.8990849999998
2007-01-16,1475.8983
2007-01-17,1490.593975
2007-01-18,1504.5545
2007-01-19,1521.0701999999999
2007-01-22,1540.36009
2007-01-23,1561.05133
2007-01-24,1583.094945
2007-01-25,1600.56594
2007-01-26,1619.839995
2007-01-29,1640.4199700000001
2007-01-30,1660.8891449999999
2007-01-31,1674.374255
2007-02-01,1687.7233649999998
2007-02-02,1697.6284650000002
2007-02-05,1704.8297149999999
2007-02-06,1711.5860100000002
2007-02-07,1718.1644200000003
2007-02-08,1726.69477
2007-02-09,1737.2491249999998
2007-02-12,1746.6376850000001
2007-02-13,1755.0839849999998
2007-02-14,1767.0379799999998
2007-02-15,1781.1001649999998
2007-02-16,1792.97183
2007-02-26,1803.3862649999999
2007-02-27,1804.387385
2007-02-28,1807.982415
2007-03-01,1812.5050050000002
2007-03-02,1816.89214
2007-03-05,1818.111375
2007-03-06,1821.1105150000003
2007-03-07,1831.8680200000003
2007-03-08,1843.8291000000002
2007-03-09,1858.302015
2007-03-12,1874.044065
2007-03-13,1889.117565
2007-03-14,1901.2319200000002
2007-03-15,1913.697855
2007-03-16,1924.779565
2007-03-19,1934.79992
2007-03-20,1944.53037
2007-03-21,1953.3725
2007-03-22,1959.756195
2007-03-23,1966.1490299999998
2007-03-26,1972.632585
2007-03-27,1989.119505
2007-03-28,2001.901095
2007-03-29,2015.31274
2007-03-30,2027.7137149999999
2007-04-02,2043.3324
2007-04-03,2059.388035
2007-04-04,2073.957105
2007-04-05,2088.413925
2007-04-06,2104.3608950000003
2007-04-09,2121.642755
2007-04-10,2139.30395
2007-04-11,2159.6565849999997
2007-04-12,2180.50656
2007-04-13,2202.5016
2007-04-16,2226.1546700000004
2007-04-17,2250.60653
2007-04-18,2275.420485
2007-04-19,2293.6273950000004
2007-04-20,2316.837065
2007-04-23,2343.2660600000004
2007-04-24,2369.3804
2007-04-25,2395.6184249999997
2007-04-26,2425.37626
2007-04-27,2454.11133
2007-04-30,2482.553395
2007-05-08,2514.688955
2007-05-09,2546.476785
2007-05-10,2577.771475
2007-05-11,2607.20928
2007-05-14,2635.4053599999997
2007-05-15,2657.4296050000003
2007-05-16,2681.68056
2007-05-17,2706.86396
2007-05-18,2732.7288500000004
2007-05-21,2758.09981
2007-05-22,2783.74996
2007-05-23,2810.923345
2007-05-24,2843.709125
2007-05-25,2873.35949
2007-05-28,2900.95402
2007-05-29,2931.159015
2007-05-30,2949.7943050000003
2007-05-31,2965.159675
2007-06-01,2974.19149
2007-06-04,2969.6999100000003
2007-06-05,2963.0693899999997
2007-06-06,2957.6341199999997
2007-06-07,2956.55094
2007-06-08,2957.93219
2007-06-11,2961.749355
2007-06-12,2974.21499
2007-06-13,2986.884755
2007-06-14,2994.570595
2007-06-15,3002.63124
2007-06-18,3012.378455
2007-06-19,3021.6858
2007-06-20,3023.8318449999997
2007-06-21,3027.224495
2007-06-22,3021.43338
2007-06-25,3004.764045
2007-06-26,2986.6435950000005
2007-06-27,2984.1153249999998
2007-06-28,2975.58239
2007-06-29,2969.29352
2007-07-02,2974.59136
2007-07-03,2979.2459750000003
2007-07-04,2978.95015
2007-07-05,2965.4899950000004
2007-07-06,2956.745815
2007-07-09,2948.650525
2007-07-10,2934.36283
2007-07-11,2916.9635
2007-07-12,2902.08136
2007-07-13,2886.46477
2007-07-16,2861.856555
2007-07-17,2838.5001
2007-07-18,2819.66574
2007-07-19,2800.48859
2007-07-20,2793.67321
2007-07-23,2801.22426
2007-07-24,2807.114095
2007-07-25,2812.74206
2007-07-26,2828.182525
2007-07-27,2849.5736650000003
2007-07-30,2874.1793900000002
2007-07-31,2898.2632999999996
2007-08-01,2918.57861
2007-08-02,2952.166805
2007-08-03,2983.9416699999997
