date,000300.SH_年化波动率_60日
2007-01-08,22.545565743168634
2007-01-09,22.933886858329764
2007-01-10,23.19501044963548
2007-01-11,23.261346732725368
2007-01-12,24.14963390018663
2007-01-15,25.643922516473495
2007-01-16,25.94868585184134
2007-01-17,26.488406256598253
2007-01-18,25.790413164774428
2007-01-19,26.14303975430407
2007-01-22,26.8361970741933
2007-01-23,26.834892953030927
2007-01-24,26.49774065353478
2007-01-25,27.85677596039949
2007-01-26,28.0189903964058
2007-01-29,28.20552898711437
2007-01-30,28.406431856152665
2007-01-31,32.30066429527703
2007-02-01,32.291411680480216
2007-02-02,33.764098180599774
2007-02-05,33.7544120975225
2007-02-06,33.778478932635494
2007-02-07,33.66188546271498
2007-02-08,33.271585247840214
2007-02-09,33.37489949213559
2007-02-12,33.63646550923695
2007-02-13,33.61308082320631
2007-02-14,33.73267173596855
2007-02-15,33.95113619191063
2007-02-16,33.96241887644718
2007-02-26,33.9670065267167
2007-02-27,40.03171994058551
2007-02-28,40.405596158486624
2007-03-01,41.03261257058086
2007-03-02,40.99137601395592
2007-03-05,41.16768422767306
2007-03-06,41.003306787093926
2007-03-07,41.21063444001012
2007-03-08,40.98464599181681
2007-03-09,41.06291642620153
2007-03-12,40.9660146558322
2007-03-13,40.932419595796084
2007-03-14,40.24378245213349
2007-03-15,39.57059663252905
2007-03-16,39.82171430335964
2007-03-19,39.91566163260517
2007-03-20,39.85004469237454
2007-03-21,39.80231199759011
2007-03-22,39.60676795183627
2007-03-23,39.61022076993882
2007-03-26,39.67760359871178
2007-03-27,39.46160324488724
2007-03-28,39.36934144819219
2007-03-29,39.29660690486328
2007-03-30,39.2972868619778
2007-04-02,39.324549774716175
2007-04-03,39.320112514925945
2007-04-04,39.013342512629876
2007-04-05,39.00478085336622
2007-04-06,39.00480303479884
2007-04-09,38.88681191232305
2007-04-10,38.569606247053436
2007-04-11,38.39396196523063
2007-04-12,38.32367410273706
2007-04-13,37.79690988142228
2007-04-16,36.93299329875291
2007-04-17,36.64337324122495
2007-04-18,36.29096842026216
2007-04-19,37.86214058276121
2007-04-20,38.20693595056155
2007-04-23,38.33202109482679
2007-04-24,38.331822926875134
2007-04-25,38.322403708620094
2007-04-26,37.52983710126564
2007-04-27,37.42346937599217
2007-04-30,37.42228012672971
2007-05-08,37.76241896587477
2007-05-09,34.64598246918543
2007-05-10,34.64052061677938
2007-05-11,33.29774648091563
2007-05-14,33.06074599428492
2007-05-15,34.11999073082666
2007-05-16,34.18695613922344
2007-05-17,34.24052732478774
2007-05-18,34.17672592024974
