time,000905.SH_均线_20日
2015-12-25,7560.489450000001
2015-12-28,7570.23755
2015-12-29,7581.7598
2015-12-30,7598.51915
2015-12-31,7600.878200000001
2016-01-04,7574.46465
2016-01-05,7538.840299999999
2016-01-06,7521.91355
2016-01-07,7476.312
2016-01-08,7437.3231
2016-01-11,7379.2208
2016-01-12,7314.00245
2016-01-13,7235.2956
2016-01-14,7165.06645
2016-01-15,7073.938249999999
2016-01-18,6987.915149999999
2016-01-19,6908.3417
2016-01-20,6822.436449999999
2016-01-21,6728.116499999999
2016-01-22,6639.4952
2016-01-25,6551.9553
2016-01-26,6451.2526
2016-01-27,6343.2426
2016-01-28,6219.751749999999
2016-01-29,6112.3238
2016-02-01,6033.12745
2016-02-02,5967.97175
2016-02-03,5895.20005
2016-02-04,5858.16215
2016-02-05,5812.8504
2016-02-15,5789.8196
2016-02-16,5778.113149999999
2016-02-17,5780.4815499999995
2016-02-18,5772.0971
2016-02-19,5776.388800000001
2016-02-22,5782.62955
2016-02-23,5776.2998
2016-02-24,5774.926799999999
2016-02-25,5761.8852
2016-02-26,5745.30155
2016-02-29,5710.75695
2016-03-01,5704.97335
2016-03-02,5716.92125
2016-03-03,5742.2086
2016-03-04,5749.83015
2016-03-07,5767.4837
2016-03-08,5776.3686
2016-03-09,5776.71185
2016-03-10,5766.735
2016-03-11,5758.97425
2016-03-14,5760.10175
2016-03-15,5746.965099999999
2016-03-16,5726.5347
2016-03-17,5715.9769
2016-03-18,5714.464249999999
2016-03-21,5714.252149999999
2016-03-22,5714.501749999999
2016-03-23,5714.8979
2016-03-24,5734.5165
2016-03-25,5755.941150000001
2016-03-28,5790.30835
2016-03-29,5812.71995
2016-03-30,5831.9377
2016-03-31,5850.87955
2016-04-01,5876.027899999999
2016-04-05,5902.729649999999
2016-04-06,5930.685100000001
2016-04-07,5961.2819
2016-04-08,5993.6216
2016-04-11,6033.3875
2016-04-12,6061.49665
2016-04-13,6096.717900000001
2016-04-14,6138.67045
2016-04-15,6170.5892
2016-04-18,6187.1861499999995
2016-04-19,6197.62355
2016-04-20,6194.9596
2016-04-21,6187.545400000001
2016-04-22,6187.190199999999
2016-04-25,6182.2225
2016-04-26,6182.6722500000005
2016-04-27,6187.41385
2016-04-28,6180.055149999999
2016-04-29,6171.54415
2016-05-03,6173.69045
2016-05-04,6167.85045
2016-05-05,6161.8696
2016-05-06,6148.495349999999
2016-05-09,6127.240599999999
2016-05-10,6098.9704
2016-05-11,6072.50225
2016-05-12,6041.6137499999995
2016-05-13,6007.23655
2016-05-16,5978.64615
2016-05-17,5954.10315
2016-05-18,5920.2513500000005
2016-05-19,5902.477349999999
2016-05-20,5890.58835
2016-05-23,5880.496150000001
2016-05-24,5868.751200000001
2016-05-25,5852.1717
2016-05-26,5838.55615
2016-05-27,5826.019200000001
2016-05-30,5812.305249999999
2016-05-31,5801.29865
2016-06-01,5791.4985
2016-06-02,5782.002350000001
2016-06-03,5785.558050000001
2016-06-06,5800.9687
2016-06-07,5816.291749999999
2016-06-08,5831.31515
2016-06-13,5832.31455
2016-06-14,5834.737050000001
2016-06-15,5841.75225
2016-06-16,5848.7624
2016-06-17,5865.4163499999995
2016-06-20,5881.35815
2016-06-21,5890.5532
2016-06-22,5900.5237
2016-06-23,5912.2735
2016-06-24,5921.69535
2016-06-27,5936.6869
2016-06-28,5955.08295
2016-06-29,5975.5273
2016-06-30,5984.3359
2016-07-01,5991.22385
2016-07-04,6002.1232
2016-07-05,6013.9682999999995
2016-07-06,6026.24515
2016-07-07,6039.96695
2016-07-08,6053.7657
2016-07-11,6082.068450000001
2016-07-12,6113.687650000001
2016-07-13,6138.3735
2016-07-14,6164.6254
2016-07-15,6188.462600000001
2016-07-18,6209.7878
2016-07-19,6235.5445500000005
2016-07-20,6255.99635
2016-07-21,6279.2231
2016-07-22,6303.58835
2016-07-25,6321.8165500000005
2016-07-26,6341.164699999999
2016-07-27,6346.619049999999
2016-07-28,6352.60875
2016-07-29,6357.1764
2016-08-01,6351.04625
2016-08-02,6345.996450000001
2016-08-03,6341.04605
2016-08-04,6336.96795
2016-08-05,6332.139649999999
2016-08-08,6331.0525
2016-08-09,6328.37275
2016-08-10,6321.9580000000005
2016-08-11,6310.4945
2016-08-12,6303.3983
2016-08-15,6304.921
2016-08-16,6306.76885
2016-08-17,6310.290999999999
2016-08-18,6312.67595
2016-08-19,6318.10745
2016-08-22,6318.686
2016-08-23,6315.3972
2016-08-24,6325.6857
2016-08-25,6332.6498
2016-08-26,6343.041899999999
2016-08-29,6358.95445
2016-08-30,6371.8167
2016-08-31,6383.60775
2016-09-01,6390.77
2016-09-02,6398.453350000001
2016-09-05,6403.50515
2016-09-06,6411.07625
2016-09-07,6419.878650000001
2016-09-08,6434.4622
2016-09-09,6443.06025
2016-09-12,6435.5157
